# Guess for Rs	Radial constraint	Angular constraint
2.37862e+07	-70303.2	3.78788e+09
2.38216e+07	-70198.6	3.78223e+09
2.38571e+07	-70094.3	3.77659e+09
2.38925e+07	-69990.3	3.77098e+09
2.3928e+07	-69886.6	3.76538e+09
2.39634e+07	-69783.2	3.75979e+09
2.39989e+07	-69680.2	3.75423e+09
2.40343e+07	-69577.4	3.74867e+09
2.40698e+07	-69474.9	3.74314e+09
2.41052e+07	-69372.7	3.73762e+09
2.41407e+07	-69270.9	3.73212e+09
2.41761e+07	-69169.3	3.72663e+09
2.42116e+07	-69068	3.72116e+09
2.4247e+07	-68967.1	3.71571e+09
2.42825e+07	-68866.4	3.71027e+09
2.43179e+07	-68766	3.70485e+09
2.43534e+07	-68665.9	3.69945e+09
2.43888e+07	-68566.1	3.69406e+09
2.44243e+07	-68466.6	3.68868e+09
2.44597e+07	-68367.3	3.68332e+09
2.44952e+07	-68268.4	3.67798e+09
2.45306e+07	-68169.8	3.67265e+09
2.45661e+07	-68071.4	3.66734e+09
2.46015e+07	-67973.3	3.66204e+09
2.4637e+07	-67875.5	3.65676e+09
2.46724e+07	-67778	3.65149e+09
2.47079e+07	-67680.7	3.64624e+09
2.47433e+07	-67583.8	3.64101e+09
2.47788e+07	-67487.1	3.63578e+09
2.48142e+07	-67390.7	3.63058e+09
2.48496e+07	-67294.5	3.62539e+09
2.48851e+07	-67198.7	3.62021e+09
2.49205e+07	-67103.1	3.61505e+09
2.4956e+07	-67007.8	3.6099e+09
2.49914e+07	-66912.7	3.60477e+09
2.50269e+07	-66817.9	3.59965e+09
2.50623e+07	-66723.4	3.59455e+09
2.50978e+07	-66629.2	3.58946e+09
2.51332e+07	-66535.2	3.58438e+09
2.51687e+07	-66441.5	3.57932e+09
2.52041e+07	-66348.1	3.57428e+09
2.52396e+07	-66254.9	3.56925e+09
2.5275e+07	-66161.9	3.56423e+09
2.53105e+07	-66069.3	3.55922e+09
2.53459e+07	-65976.9	3.55423e+09
2.53814e+07	-65884.7	3.54926e+09
2.54168e+07	-65792.8	3.5443e+09
2.54523e+07	-65701.2	3.53935e+09
2.54877e+07	-65609.8	3.53442e+09
2.55232e+07	-65518.7	3.52949e+09
2.55586e+07	-65427.8	3.52459e+09
2.55941e+07	-65337.2	3.5197e+09
2.56295e+07	-65246.8	3.51482e+09
2.5665e+07	-65156.7	3.50995e+09
2.57004e+07	-65066.9	3.5051e+09
2.57359e+07	-64977.2	3.50026e+09
2.57713e+07	-64887.9	3.49543e+09
2.58068e+07	-64798.7	3.49062e+09
2.58422e+07	-64709.8	3.48582e+09
2.58777e+07	-64621.2	3.48104e+09
2.59131e+07	-64532.8	3.47626e+09
2.59486e+07	-64444.6	3.4715e+09
2.5984e+07	-64356.7	3.46676e+09
2.60195e+07	-64269	3.46202e+09
2.60549e+07	-64181.6	3.4573e+09
2.60904e+07	-64094.4	3.45259e+09
2.61258e+07	-64007.4	3.4479e+09
2.61613e+07	-63920.7	3.44322e+09
2.61967e+07	-63834.2	3.43855e+09
2.62322e+07	-63747.9	3.43389e+09
2.62676e+07	-63661.9	3.42924e+09
2.63031e+07	-63576.1	3.42461e+09
2.63385e+07	-63490.5	3.41999e+09
2.6374e+07	-63405.2	3.41538e+09
2.64094e+07	-63320.1	3.41079e+09
2.64448e+07	-63235.2	3.40621e+09
2.64803e+07	-63150.6	3.40164e+09
2.65157e+07	-63066.1	3.39708e+09
2.65512e+07	-62981.9	3.39253e+09
2.65866e+07	-62898	3.388e+09
2.66221e+07	-62814.2	3.38348e+09
2.66575e+07	-62730.7	3.37897e+09
2.6693e+07	-62647.4	3.37447e+09
2.67284e+07	-62564.3	3.36999e+09
2.67639e+07	-62481.4	3.36551e+09
2.67993e+07	-62398.8	3.36105e+09
2.68348e+07	-62316.3	3.3566e+09
2.68702e+07	-62234.1	3.35217e+09
2.69057e+07	-62152.1	3.34774e+09
2.69411e+07	-62070.4	3.34332e+09
2.69766e+07	-61988.8	3.33892e+09
2.7012e+07	-61907.4	3.33453e+09
2.70475e+07	-61826.3	3.33015e+09
2.70829e+07	-61745.4	3.32578e+09
2.71184e+07	-61664.7	3.32142e+09
2.71538e+07	-61584.2	3.31708e+09
2.71893e+07	-61503.9	3.31275e+09
2.72247e+07	-61423.8	3.30842e+09
2.72602e+07	-61343.9	3.30411e+09
2.72956e+07	-61264.2	3.29981e+09
2.73311e+07	-61184.8	3.29552e+09
2.73665e+07	-61105.5	3.29124e+09
2.7402e+07	-61026.5	3.28698e+09
2.74374e+07	-60947.6	3.28272e+09
2.74729e+07	-60869	3.27848e+09
2.75083e+07	-60790.6	3.27424e+09
2.75438e+07	-60712.3	3.27002e+09
2.75792e+07	-60634.3	3.26581e+09
2.76147e+07	-60556.4	3.26161e+09
2.76501e+07	-60478.8	3.25741e+09
2.76856e+07	-60401.4	3.25323e+09
2.7721e+07	-60324.1	3.24907e+09
2.77565e+07	-60247.1	3.24491e+09
2.77919e+07	-60170.2	3.24076e+09
2.78274e+07	-60093.6	3.23662e+09
2.78628e+07	-60017.1	3.2325e+09
2.78983e+07	-59940.9	3.22838e+09
2.79337e+07	-59864.8	3.22427e+09
2.79691e+07	-59788.9	3.22018e+09
2.80046e+07	-59713.3	3.21609e+09
2.804e+07	-59637.8	3.21202e+09
2.80755e+07	-59562.5	3.20796e+09
2.81109e+07	-59487.4	3.2039e+09
2.81464e+07	-59412.4	3.19986e+09
2.81818e+07	-59337.7	3.19582e+09
2.82173e+07	-59263.2	3.1918e+09
2.82527e+07	-59188.8	3.18779e+09
2.82882e+07	-59114.6	3.18379e+09
2.83236e+07	-59040.6	3.17979e+09
2.83591e+07	-58966.8	3.17581e+09
2.83945e+07	-58893.2	3.17184e+09
2.843e+07	-58819.8	3.16787e+09
2.84654e+07	-58746.5	3.16392e+09
2.85009e+07	-58673.5	3.15998e+09
2.85363e+07	-58600.6	3.15604e+09
2.85718e+07	-58527.9	3.15212e+09
2.86072e+07	-58455.4	3.14821e+09
2.86427e+07	-58383	3.1443e+09
2.86781e+07	-58310.8	3.14041e+09
2.87136e+07	-58238.9	3.13652e+09
2.8749e+07	-58167	3.13265e+09
2.87845e+07	-58095.4	3.12878e+09
2.88199e+07	-58023.9	3.12492e+09
2.88554e+07	-57952.7	3.12108e+09
2.88908e+07	-57881.6	3.11724e+09
2.89263e+07	-57810.6	3.11341e+09
2.89617e+07	-57739.9	3.10959e+09
2.89972e+07	-57669.3	3.10578e+09
2.90326e+07	-57598.9	3.10198e+09
2.90681e+07	-57528.6	3.09819e+09
2.91035e+07	-57458.5	3.09441e+09
2.9139e+07	-57388.6	3.09064e+09
2.91744e+07	-57318.9	3.08688e+09
2.92099e+07	-57249.4	3.08312e+09
2.92453e+07	-57180	3.07938e+09
2.92808e+07	-57110.7	3.07564e+09
2.93162e+07	-57041.7	3.07192e+09
2.93517e+07	-56972.8	3.0682e+09
2.93871e+07	-56904.1	3.06449e+09
2.94226e+07	-56835.5	3.06079e+09
2.9458e+07	-56767.1	3.0571e+09
2.94934e+07	-56698.9	3.05342e+09
2.95289e+07	-56630.8	3.04975e+09
2.95643e+07	-56562.9	3.04608e+09
2.95998e+07	-56495.2	3.04243e+09
2.96352e+07	-56427.6	3.03878e+09
2.96707e+07	-56360.2	3.03514e+09
2.97061e+07	-56292.9	3.03151e+09
2.97416e+07	-56225.8	3.02789e+09
2.9777e+07	-56158.9	3.02428e+09
2.98125e+07	-56092.1	3.02068e+09
2.98479e+07	-56025.5	3.01708e+09
2.98834e+07	-55959	3.0135e+09
2.99188e+07	-55892.7	3.00992e+09
2.99543e+07	-55826.6	3.00635e+09
2.99897e+07	-55760.6	3.00279e+09
3.00252e+07	-55694.8	2.99924e+09
3.00606e+07	-55629.1	2.99569e+09
3.00961e+07	-55563.6	2.99216e+09
3.01315e+07	-55498.2	2.98863e+09
3.0167e+07	-55433	2.98511e+09
3.02024e+07	-55367.9	2.9816e+09
3.02379e+07	-55303	2.9781e+09
3.02733e+07	-55238.3	2.9746e+09
3.03088e+07	-55173.6	2.97112e+09
3.03442e+07	-55109.2	2.96764e+09
3.03797e+07	-55044.9	2.96417e+09
3.04151e+07	-54980.7	2.96071e+09
3.04506e+07	-54916.7	2.95726e+09
3.0486e+07	-54852.9	2.95381e+09
3.05215e+07	-54789.2	2.95037e+09
3.05569e+07	-54725.6	2.94694e+09
3.05924e+07	-54662.2	2.94352e+09
3.06278e+07	-54598.9	2.94011e+09
3.06633e+07	-54535.8	2.9367e+09
3.06987e+07	-54472.8	2.93331e+09
3.07342e+07	-54410	2.92992e+09
3.07696e+07	-54347.3	2.92654e+09
3.08051e+07	-54284.8	2.92316e+09
3.08405e+07	-54222.4	2.91979e+09
3.0876e+07	-54160.1	2.91644e+09
3.09114e+07	-54098	2.91308e+09
3.09469e+07	-54036	2.90974e+09
3.09823e+07	-53974.2	2.90641e+09
3.10178e+07	-53912.5	2.90308e+09
3.10532e+07	-53851	2.89976e+09
3.10886e+07	-53789.6	2.89645e+09
3.11241e+07	-53728.3	2.89314e+09
3.11595e+07	-53667.2	2.88984e+09
3.1195e+07	-53606.2	2.88655e+09
3.12304e+07	-53545.4	2.88327e+09
3.12659e+07	-53484.7	2.87999e+09
3.13013e+07	-53424.1	2.87673e+09
3.13368e+07	-53363.7	2.87347e+09
3.13722e+07	-53303.4	2.87021e+09
3.14077e+07	-53243.2	2.86697e+09
3.14431e+07	-53183.2	2.86373e+09
3.14786e+07	-53123.3	2.8605e+09
3.1514e+07	-53063.5	2.85727e+09
3.15495e+07	-53003.9	2.85406e+09
3.15849e+07	-52944.4	2.85085e+09
3.16204e+07	-52885.1	2.84765e+09
3.16558e+07	-52825.8	2.84445e+09
3.16913e+07	-52766.7	2.84126e+09
3.17267e+07	-52707.8	2.83808e+09
3.17622e+07	-52649	2.83491e+09
3.17976e+07	-52590.3	2.83174e+09
3.18331e+07	-52531.7	2.82859e+09
3.18685e+07	-52473.3	2.82543e+09
3.1904e+07	-52415	2.82229e+09
3.19394e+07	-52356.8	2.81915e+09
3.19749e+07	-52298.7	2.81602e+09
3.20103e+07	-52240.8	2.81289e+09
3.20458e+07	-52183	2.80978e+09
3.20812e+07	-52125.4	2.80667e+09
3.21167e+07	-52067.8	2.80356e+09
3.21521e+07	-52010.4	2.80047e+09
3.21876e+07	-51953.2	2.79738e+09
3.2223e+07	-51896	2.79429e+09
3.22585e+07	-51839	2.79122e+09
3.22939e+07	-51782.1	2.78815e+09
3.23294e+07	-51725.3	2.78508e+09
3.23648e+07	-51668.6	2.78203e+09
3.24003e+07	-51612.1	2.77898e+09
3.24357e+07	-51555.7	2.77594e+09
3.24712e+07	-51499.4	2.7729e+09
3.25066e+07	-51443.3	2.76987e+09
3.25421e+07	-51387.2	2.76685e+09
3.25775e+07	-51331.3	2.76383e+09
3.26129e+07	-51275.5	2.76082e+09
3.26484e+07	-51219.8	2.75782e+09
3.26838e+07	-51164.3	2.75482e+09
3.27193e+07	-51108.9	2.75183e+09
3.27547e+07	-51053.5	2.74885e+09
3.27902e+07	-50998.3	2.74587e+09
3.28256e+07	-50943.3	2.7429e+09
3.28611e+07	-50888.3	2.73994e+09
3.28965e+07	-50833.5	2.73698e+09
3.2932e+07	-50778.8	2.73403e+09
3.29674e+07	-50724.2	2.73108e+09
3.30029e+07	-50669.7	2.72814e+09
3.30383e+07	-50615.3	2.72521e+09
3.30738e+07	-50561.1	2.72229e+09
3.31092e+07	-50506.9	2.71937e+09
3.31447e+07	-50452.9	2.71645e+09
3.31801e+07	-50399	2.71354e+09
3.32156e+07	-50345.2	2.71064e+09
3.3251e+07	-50291.5	2.70775e+09
3.32865e+07	-50238	2.70486e+09
3.33219e+07	-50184.5	2.70198e+09
3.33574e+07	-50131.2	2.6991e+09
3.33928e+07	-50078	2.69623e+09
3.34283e+07	-50024.9	2.69337e+09
3.34637e+07	-49971.9	2.69051e+09
3.34992e+07	-49919	2.68766e+09
3.35346e+07	-49866.2	2.68481e+09
3.35701e+07	-49813.6	2.68197e+09
3.36055e+07	-49761	2.67914e+09
3.3641e+07	-49708.6	2.67631e+09
3.36764e+07	-49656.3	2.67349e+09
3.37119e+07	-49604.1	2.67067e+09
3.37473e+07	-49552	2.66786e+09
3.37828e+07	-49500	2.66505e+09
3.38182e+07	-49448.1	2.66226e+09
3.38537e+07	-49396.3	2.65946e+09
3.38891e+07	-49344.6	2.65668e+09
3.39246e+07	-49293.1	2.6539e+09
3.396e+07	-49241.6	2.65112e+09
3.39955e+07	-49190.3	2.64835e+09
3.40309e+07	-49139	2.64559e+09
3.40664e+07	-49087.9	2.64283e+09
3.41018e+07	-49036.9	2.64008e+09
3.41372e+07	-48985.9	2.63733e+09
3.41727e+07	-48935.1	2.63459e+09
3.42081e+07	-48884.4	2.63186e+09
3.42436e+07	-48833.8	2.62913e+09
3.4279e+07	-48783.3	2.6264e+09
3.43145e+07	-48732.9	2.62369e+09
3.43499e+07	-48682.6	2.62097e+09
3.43854e+07	-48632.4	2.61827e+09
3.44208e+07	-48582.4	2.61557e+09
3.44563e+07	-48532.4	2.61287e+09
3.44917e+07	-48482.5	2.61018e+09
3.45272e+07	-48432.7	2.6075e+09
3.45626e+07	-48383	2.60482e+09
3.45981e+07	-48333.5	2.60214e+09
3.46335e+07	-48284	2.59948e+09
3.4669e+07	-48234.6	2.59681e+09
3.47044e+07	-48185.4	2.59416e+09
3.47399e+07	-48136.2	2.5915e+09
3.47753e+07	-48087.1	2.58886e+09
3.48108e+07	-48038.2	2.58622e+09
3.48462e+07	-47989.3	2.58358e+09
3.48817e+07	-47940.5	2.58095e+09
3.49171e+07	-47891.8	2.57833e+09
3.49526e+07	-47843.3	2.57571e+09
3.4988e+07	-47794.8	2.57309e+09
3.50235e+07	-47746.4	2.57049e+09
3.50589e+07	-47698.1	2.56788e+09
3.50944e+07	-47650	2.56528e+09
3.51298e+07	-47601.9	2.56269e+09
3.51653e+07	-47553.9	2.5601e+09
3.52007e+07	-47506	2.55752e+09
3.52362e+07	-47458.2	2.55494e+09
3.52716e+07	-47410.5	2.55237e+09
3.53071e+07	-47362.9	2.5498e+09
3.53425e+07	-47315.4	2.54724e+09
3.5378e+07	-47268	2.54469e+09
3.54134e+07	-47220.7	2.54213e+09
3.54489e+07	-47173.5	2.53959e+09
