# Guess for Rs	Radial constraint	Angular constraint
5.45912e+06	-306321	1.6643e+10
5.49457e+06	-304345	1.65345e+10
5.53002e+06	-302394	1.64273e+10
5.56547e+06	-300468	1.63216e+10
5.60092e+06	-298566	1.62172e+10
5.63637e+06	-296688	1.61141e+10
5.67182e+06	-294834	1.60123e+10
5.70727e+06	-293003	1.59119e+10
5.74271e+06	-291194	1.58126e+10
5.77816e+06	-289408	1.57146e+10
5.81361e+06	-287643	1.56178e+10
5.84906e+06	-285900	1.55222e+10
5.88451e+06	-284178	1.54277e+10
5.91996e+06	-282476	1.53344e+10
5.95541e+06	-280794	1.52422e+10
5.99086e+06	-279133	1.51512e+10
6.02631e+06	-277491	1.50612e+10
6.06175e+06	-275868	1.49722e+10
6.0972e+06	-274264	1.48843e+10
6.13265e+06	-272679	1.47975e+10
6.1681e+06	-271112	1.47116e+10
6.20355e+06	-269563	1.46267e+10
6.239e+06	-268031	1.45428e+10
6.27445e+06	-266517	1.44599e+10
6.3099e+06	-265019	1.43779e+10
6.34535e+06	-263539	1.42968e+10
6.38079e+06	-262075	1.42166e+10
6.41624e+06	-260627	1.41374e+10
6.45169e+06	-259195	1.4059e+10
6.48714e+06	-257779	1.39815e+10
6.52259e+06	-256378	1.39048e+10
6.55804e+06	-254992	1.38289e+10
6.59349e+06	-253621	1.37539e+10
6.62894e+06	-252265	1.36797e+10
6.66439e+06	-250923	1.36063e+10
6.69983e+06	-249595	1.35337e+10
6.73528e+06	-248281	1.34618e+10
6.77073e+06	-246982	1.33907e+10
6.80618e+06	-245695	1.33204e+10
6.84163e+06	-244422	1.32507e+10
6.87708e+06	-243162	1.31819e+10
6.91253e+06	-241915	1.31137e+10
6.94798e+06	-240681	1.30462e+10
6.98342e+06	-239459	1.29794e+10
7.01887e+06	-238250	1.29133e+10
7.05432e+06	-237053	1.28479e+10
7.08977e+06	-235867	1.27831e+10
7.12522e+06	-234694	1.2719e+10
7.16067e+06	-233532	1.26555e+10
7.19612e+06	-232382	1.25926e+10
7.23157e+06	-231242	1.25304e+10
7.26702e+06	-230114	1.24688e+10
7.30246e+06	-228997	1.24077e+10
7.33791e+06	-227891	1.23473e+10
7.37336e+06	-226796	1.22875e+10
7.40881e+06	-225710	1.22282e+10
7.44426e+06	-224636	1.21695e+10
7.47971e+06	-223571	1.21114e+10
7.51516e+06	-222516	1.20538e+10
7.55061e+06	-221472	1.19968e+10
7.58606e+06	-220437	1.19403e+10
7.6215e+06	-219411	1.18843e+10
7.65695e+06	-218396	1.18289e+10
7.6924e+06	-217389	1.17739e+10
7.72785e+06	-216392	1.17195e+10
7.7633e+06	-215404	1.16656e+10
7.79875e+06	-214425	1.16122e+10
7.8342e+06	-213455	1.15592e+10
7.86965e+06	-212493	1.15068e+10
7.9051e+06	-211540	1.14548e+10
7.94054e+06	-210596	1.14032e+10
7.97599e+06	-209660	1.13522e+10
8.01144e+06	-208732	1.13016e+10
8.04689e+06	-207813	1.12514e+10
8.08234e+06	-206901	1.12017e+10
8.11779e+06	-205998	1.11524e+10
8.15324e+06	-205102	1.11036e+10
8.18869e+06	-204214	1.10552e+10
8.22413e+06	-203334	1.10072e+10
8.25958e+06	-202461	1.09596e+10
8.29503e+06	-201596	1.09124e+10
8.33048e+06	-200738	1.08657e+10
8.36593e+06	-199888	1.08193e+10
8.40138e+06	-199044	1.07733e+10
8.43683e+06	-198208	1.07278e+10
8.47228e+06	-197379	1.06826e+10
8.50773e+06	-196556	1.06377e+10
8.54317e+06	-195741	1.05933e+10
8.57862e+06	-194932	1.05492e+10
8.61407e+06	-194130	1.05055e+10
8.64952e+06	-193334	1.04621e+10
8.68497e+06	-192545	1.04192e+10
8.72042e+06	-191762	1.03765e+10
8.75587e+06	-190986	1.03342e+10
8.79132e+06	-190216	1.02923e+10
8.82677e+06	-189452	1.02507e+10
8.86221e+06	-188694	1.02094e+10
8.89766e+06	-187942	1.01684e+10
8.93311e+06	-187196	1.01278e+10
8.96856e+06	-186456	1.00875e+10
9.00401e+06	-185722	1.00475e+10
9.03946e+06	-184994	1.00079e+10
9.07491e+06	-184271	9.96853e+09
9.11036e+06	-183554	9.92949e+09
9.14581e+06	-182843	9.89076e+09
9.18125e+06	-182137	9.85232e+09
9.2167e+06	-181436	9.81418e+09
9.25215e+06	-180741	9.77634e+09
9.2876e+06	-180051	9.73879e+09
9.32305e+06	-179367	9.70152e+09
9.3585e+06	-178687	9.66454e+09
9.39395e+06	-178013	9.62784e+09
9.4294e+06	-177344	9.59142e+09
9.46484e+06	-176680	9.55527e+09
9.50029e+06	-176020	9.5194e+09
9.53574e+06	-175366	9.48379e+09
9.57119e+06	-174717	9.44845e+09
9.60664e+06	-174072	9.41337e+09
9.64209e+06	-173432	9.37854e+09
9.67754e+06	-172797	9.34398e+09
9.71299e+06	-172166	9.30967e+09
9.74844e+06	-171540	9.27561e+09
9.78388e+06	-170918	9.2418e+09
9.81933e+06	-170301	9.20824e+09
9.85478e+06	-169689	9.17491e+09
9.89023e+06	-169081	9.14183e+09
9.92568e+06	-168477	9.10899e+09
9.96113e+06	-167877	9.07638e+09
9.99658e+06	-167282	9.044e+09
1.0032e+07	-166691	9.01185e+09
1.00675e+07	-166104	8.97994e+09
1.01029e+07	-165521	8.94824e+09
1.01384e+07	-164942	8.91677e+09
1.01738e+07	-164367	8.88552e+09
1.02093e+07	-163797	8.85449e+09
1.02447e+07	-163230	8.82368e+09
1.02802e+07	-162667	8.79307e+09
1.03156e+07	-162108	8.76268e+09
1.03511e+07	-161553	8.7325e+09
1.03865e+07	-161002	8.70253e+09
1.0422e+07	-160454	8.67276e+09
1.04574e+07	-159910	8.64319e+09
1.04929e+07	-159370	8.61383e+09
1.05283e+07	-158833	8.58466e+09
1.05638e+07	-158300	8.55569e+09
1.05992e+07	-157771	8.52692e+09
1.06347e+07	-157245	8.49834e+09
1.06701e+07	-156722	8.46995e+09
1.07056e+07	-156204	8.44175e+09
1.0741e+07	-155688	8.41373e+09
1.07765e+07	-155176	8.3859e+09
1.08119e+07	-154667	8.35826e+09
1.08474e+07	-154162	8.33079e+09
1.08828e+07	-153660	8.30351e+09
1.09182e+07	-153161	8.2764e+09
1.09537e+07	-152665	8.24948e+09
1.09891e+07	-152172	8.22272e+09
1.10246e+07	-151683	8.19614e+09
1.106e+07	-151197	8.16973e+09
1.10955e+07	-150714	8.14349e+09
1.11309e+07	-150234	8.11742e+09
1.11664e+07	-149757	8.09151e+09
1.12018e+07	-149283	8.06577e+09
1.12373e+07	-148812	8.04019e+09
1.12727e+07	-148344	8.01477e+09
