# R v_R c2s omega rho H omega_prime T
5.44724e+28 -1.27106e-07 1.41809e-07 3.35251e-21 -6.2625e-25 2.57668e+13 4.9105e-38 4.11813e-11
5.43841e+28 -1.27106e-07 1.41993e-07 3.35251e-21 -6.27469e-25 2.57584e+13 4.92942e-38 4.12639e-11
5.42958e+28 -1.27106e-07 1.42177e-07 3.35251e-21 -6.28697e-25 2.57499e+13 4.94843e-38 4.13467e-11
5.42076e+28 -1.27106e-07 1.42361e-07 3.35251e-21 -6.29933e-25 2.57412e+13 4.96752e-38 4.14295e-11
5.41193e+28 -1.27106e-07 1.42544e-07 3.35251e-21 -6.31176e-25 2.57324e+13 4.98669e-38 4.15125e-11
5.4031e+28 -1.27106e-07 1.42727e-07 3.35251e-21 -6.32427e-25 2.57235e+13 5.00595e-38 4.15957e-11
5.39427e+28 -1.27106e-07 1.4291e-07 3.35251e-21 -6.33686e-25 2.57144e+13 5.02529e-38 4.16789e-11
5.38545e+28 -1.27106e-07 1.43093e-07 3.35251e-21 -6.34954e-25 2.57051e+13 5.04471e-38 4.17623e-11
5.37662e+28 -1.27106e-07 1.43276e-07 3.35251e-21 -6.36229e-25 2.56957e+13 5.06423e-38 4.18459e-11
5.36779e+28 -1.27106e-07 1.43458e-07 3.35251e-21 -6.37512e-25 2.56862e+13 5.08383e-38 4.19295e-11
5.35897e+28 -1.27106e-07 1.4364e-07 3.35251e-21 -6.38804e-25 2.56765e+13 5.10351e-38 4.20133e-11
5.35014e+28 -1.27106e-07 1.43822e-07 3.35251e-21 -6.40103e-25 2.56666e+13 5.12329e-38 4.20972e-11
5.34131e+28 -1.27106e-07 1.44003e-07 3.35251e-21 -6.41411e-25 2.56566e+13 5.14315e-38 4.21813e-11
5.33248e+28 -1.27106e-07 1.44184e-07 3.35251e-21 -6.42727e-25 2.56465e+13 5.1631e-38 4.22655e-11
5.32366e+28 -1.27106e-07 1.44366e-07 3.35251e-21 -6.44051e-25 2.56362e+13 5.18314e-38 4.23498e-11
5.31483e+28 -1.27106e-07 1.44546e-07 3.35251e-21 -6.45384e-25 2.56257e+13 5.20327e-38 4.24343e-11
5.306e+28 -1.27106e-07 1.44727e-07 3.35251e-21 -6.46725e-25 2.56151e+13 5.22349e-38 4.25189e-11
5.29718e+28 -1.27106e-07 1.44907e-07 3.35251e-21 -6.48074e-25 2.56044e+13 5.2438e-38 4.26037e-11
5.28835e+28 -1.27106e-07 1.45088e-07 3.35251e-21 -6.49432e-25 2.55935e+13 5.2642e-38 4.26886e-11
5.27952e+28 -1.27106e-07 1.45268e-07 3.35251e-21 -6.50798e-25 2.55825e+13 5.2847e-38 4.27736e-11
5.27069e+28 -1.27106e-07 1.45447e-07 3.35251e-21 -6.52173e-25 2.55713e+13 5.30529e-38 4.28588e-11
5.26187e+28 -1.27106e-07 1.45627e-07 3.35251e-21 -6.53556e-25 2.556e+13 5.32597e-38 4.29442e-11
5.25304e+28 -1.27106e-07 1.45806e-07 3.35251e-21 -6.54948e-25 2.55485e+13 5.34675e-38 4.30296e-11
5.24421e+28 -1.27106e-07 1.45985e-07 3.35251e-21 -6.56349e-25 2.55369e+13 5.36762e-38 4.31153e-11
5.23539e+28 -1.27106e-07 1.46164e-07 3.35251e-21 -6.57758e-25 2.55252e+13 5.38859e-38 4.3201e-11
5.22656e+28 -1.27106e-07 1.46343e-07 3.35251e-21 -6.59176e-25 2.55133e+13 5.40965e-38 4.3287e-11
5.21773e+28 -1.27106e-07 1.46521e-07 3.35251e-21 -6.60603e-25 2.55012e+13 5.43081e-38 4.3373e-11
5.2089e+28 -1.27106e-07 1.46699e-07 3.35251e-21 -6.62038e-25 2.54891e+13 5.45207e-38 4.34592e-11
5.20008e+28 -1.27106e-07 1.46877e-07 3.35251e-21 -6.63483e-25 2.54767e+13 5.47343e-38 4.35456e-11
5.19125e+28 -1.27106e-07 1.47055e-07 3.35251e-21 -6.64936e-25 2.54643e+13 5.49489e-38 4.36321e-11
5.18242e+28 -1.27106e-07 1.47233e-07 3.35251e-21 -6.66399e-25 2.54517e+13 5.51644e-38 4.37188e-11
5.1736e+28 -1.27106e-07 1.4741e-07 3.35251e-21 -6.6787e-25 2.54389e+13 5.5381e-38 4.38056e-11
5.16477e+28 -1.27106e-07 1.47587e-07 3.35251e-21 -6.69351e-25 2.5426e+13 5.55985e-38 4.38926e-11
5.15594e+28 -1.27106e-07 1.47764e-07 3.35251e-21 -6.70841e-25 2.5413e+13 5.58171e-38 4.39798e-11
5.14711e+28 -1.27106e-07 1.47941e-07 3.35251e-21 -6.7234e-25 2.53998e+13 5.60367e-38 4.40671e-11
5.13829e+28 -1.27106e-07 1.48117e-07 3.35251e-21 -6.73848e-25 2.53865e+13 5.62573e-38 4.41545e-11
5.12946e+28 -1.27106e-07 1.48294e-07 3.35251e-21 -6.75365e-25 2.53731e+13 5.6479e-38 4.42422e-11
5.12063e+28 -1.27106e-07 1.4847e-07 3.35251e-21 -6.76892e-25 2.53595e+13 5.67017e-38 4.433e-11
5.11181e+28 -1.27106e-07 1.48645e-07 3.35251e-21 -6.78428e-25 2.53458e+13 5.69255e-38 4.44179e-11
5.10298e+28 -1.27106e-07 1.48821e-07 3.35251e-21 -6.79974e-25 2.53319e+13 5.71503e-38 4.4506e-11
5.09415e+28 -1.27106e-07 1.48997e-07 3.35251e-21 -6.81529e-25 2.53179e+13 5.73762e-38 4.45943e-11
5.08532e+28 -1.27106e-07 1.49172e-07 3.35251e-21 -6.83094e-25 2.53037e+13 5.76032e-38 4.46827e-11
5.0765e+28 -1.27106e-07 1.49347e-07 3.35251e-21 -6.84668e-25 2.52895e+13 5.78312e-38 4.47713e-11
5.06767e+28 -1.27106e-07 1.49522e-07 3.35251e-21 -6.86252e-25 2.5275e+13 5.80604e-38 4.48601e-11
5.05884e+28 -1.27106e-07 1.49696e-07 3.35251e-21 -6.87845e-25 2.52605e+13 5.82906e-38 4.4949e-11
5.05002e+28 -1.27106e-07 1.49871e-07 3.35251e-21 -6.89449e-25 2.52458e+13 5.8522e-38 4.50381e-11
5.04119e+28 -1.27106e-07 1.50045e-07 3.35251e-21 -6.91062e-25 2.52309e+13 5.87544e-38 4.51274e-11
5.03236e+28 -1.27106e-07 1.50219e-07 3.35251e-21 -6.92685e-25 2.5216e+13 5.8988e-38 4.52169e-11
5.02353e+28 -1.27106e-07 1.50393e-07 3.35251e-21 -6.94318e-25 2.52009e+13 5.92227e-38 4.53065e-11
5.01471e+28 -1.27106e-07 1.50566e-07 3.35251e-21 -6.95962e-25 2.51856e+13 5.94585e-38 4.53963e-11
5.00588e+28 -1.27106e-07 1.5074e-07 3.35251e-21 -6.97615e-25 2.51702e+13 5.96955e-38 4.54863e-11
4.99705e+28 -1.27106e-07 1.50913e-07 3.35251e-21 -6.99278e-25 2.51547e+13 5.99337e-38 4.55764e-11
4.98823e+28 -1.27106e-07 1.51086e-07 3.35251e-21 -7.00952e-25 2.51391e+13 6.0173e-38 4.56668e-11
4.9794e+28 -1.27106e-07 1.51259e-07 3.35251e-21 -7.02635e-25 2.51233e+13 6.04134e-38 4.57573e-11
4.97057e+28 -1.27106e-07 1.51431e-07 3.35251e-21 -7.04329e-25 2.51074e+13 6.06551e-38 4.5848e-11
4.96174e+28 -1.27106e-07 1.51604e-07 3.35251e-21 -7.06034e-25 2.50913e+13 6.08979e-38 4.59388e-11
4.95292e+28 -1.27106e-07 1.51776e-07 3.35251e-21 -7.07749e-25 2.50751e+13 6.11419e-38 4.60299e-11
4.94409e+28 -1.27106e-07 1.51948e-07 3.35251e-21 -7.09474e-25 2.50588e+13 6.13871e-38 4.61211e-11
4.93526e+28 -1.27106e-07 1.5212e-07 3.35251e-21 -7.1121e-25 2.50424e+13 6.16336e-38 4.62126e-11
4.92644e+28 -1.27106e-07 1.52291e-07 3.35251e-21 -7.12957e-25 2.50258e+13 6.18812e-38 4.63042e-11
4.91761e+28 -1.27106e-07 1.52463e-07 3.35251e-21 -7.14714e-25 2.50091e+13 6.21301e-38 4.6396e-11
4.90878e+28 -1.27106e-07 1.52634e-07 3.35251e-21 -7.16482e-25 2.49922e+13 6.23802e-38 4.64879e-11
4.89995e+28 -1.27106e-07 1.52805e-07 3.35251e-21 -7.18261e-25 2.49752e+13 6.26316e-38 4.65801e-11
4.89113e+28 -1.27106e-07 1.52976e-07 3.35251e-21 -7.2005e-25 2.49581e+13 6.28842e-38 4.66725e-11
4.8823e+28 -1.27106e-07 1.53147e-07 3.35251e-21 -7.21851e-25 2.49409e+13 6.31381e-38 4.6765e-11
4.87347e+28 -1.27106e-07 1.53317e-07 3.35251e-21 -7.23663e-25 2.49235e+13 6.33932e-38 4.68578e-11
4.86465e+28 -1.27106e-07 1.53487e-07 3.35251e-21 -7.25486e-25 2.4906e+13 6.36496e-38 4.69507e-11
4.85582e+28 -1.27106e-07 1.53658e-07 3.35251e-21 -7.2732e-25 2.48883e+13 6.39074e-38 4.70439e-11
4.84699e+28 -1.27106e-07 1.53827e-07 3.35251e-21 -7.29165e-25 2.48706e+13 6.41664e-38 4.71372e-11
4.83816e+28 -1.27106e-07 1.53997e-07 3.35251e-21 -7.31021e-25 2.48526e+13 6.44267e-38 4.72307e-11
4.82934e+28 -1.27106e-07 1.54167e-07 3.35251e-21 -7.32889e-25 2.48346e+13 6.46884e-38 4.73245e-11
4.82051e+28 -1.27106e-07 1.54336e-07 3.35251e-21 -7.34769e-25 2.48165e+13 6.49514e-38 4.74184e-11
4.81168e+28 -1.27106e-07 1.54505e-07 3.35251e-21 -7.3666e-25 2.47982e+13 6.52157e-38 4.75125e-11
4.80286e+28 -1.27106e-07 1.54674e-07 3.35251e-21 -7.38562e-25 2.47797e+13 6.54814e-38 4.76069e-11
4.79403e+28 -1.27106e-07 1.54843e-07 3.35251e-21 -7.40477e-25 2.47612e+13 6.57484e-38 4.77014e-11
4.7852e+28 -1.27106e-07 1.55012e-07 3.35251e-21 -7.42403e-25 2.47425e+13 6.60168e-38 4.77962e-11
4.77637e+28 -1.27106e-07 1.5518e-07 3.35251e-21 -7.4434e-25 2.47237e+13 6.62866e-38 4.78911e-11
4.76755e+28 -1.27106e-07 1.55348e-07 3.35251e-21 -7.4629e-25 2.47048e+13 6.65578e-38 4.79863e-11
4.75872e+28 -1.27106e-07 1.55516e-07 3.35251e-21 -7.48252e-25 2.46857e+13 6.68303e-38 4.80817e-11
4.74989e+28 -1.27106e-07 1.55684e-07 3.35251e-21 -7.50226e-25 2.46665e+13 6.71043e-38 4.81772e-11
4.74107e+28 -1.27106e-07 1.55852e-07 3.35251e-21 -7.52212e-25 2.46472e+13 6.73797e-38 4.8273e-11
4.73224e+28 -1.27106e-07 1.56019e-07 3.35251e-21 -7.5421e-25 2.46277e+13 6.76565e-38 4.83691e-11
4.72341e+28 -1.27106e-07 1.56187e-07 3.35251e-21 -7.56221e-25 2.46082e+13 6.79348e-38 4.84653e-11
4.71458e+28 -1.27106e-07 1.56354e-07 3.35251e-21 -7.58243e-25 2.45885e+13 6.82145e-38 4.85617e-11
4.70576e+28 -1.27106e-07 1.56521e-07 3.35251e-21 -7.60279e-25 2.45686e+13 6.84957e-38 4.86584e-11
4.69693e+28 -1.27106e-07 1.56688e-07 3.35251e-21 -7.62327e-25 2.45487e+13 6.87784e-38 4.87553e-11
4.6881e+28 -1.27106e-07 1.56854e-07 3.35251e-21 -7.64387e-25 2.45286e+13 6.90625e-38 4.88524e-11
4.67928e+28 -1.27106e-07 1.57021e-07 3.35251e-21 -7.66461e-25 2.45084e+13 6.93482e-38 4.89497e-11
4.67045e+28 -1.27106e-07 1.57187e-07 3.35251e-21 -7.68547e-25 2.44881e+13 6.96353e-38 4.90473e-11
4.66162e+28 -1.27106e-07 1.57353e-07 3.35251e-21 -7.70646e-25 2.44676e+13 6.9924e-38 4.9145e-11
4.65279e+28 -1.27106e-07 1.57519e-07 3.35251e-21 -7.72758e-25 2.4447e+13 7.02142e-38 4.9243e-11
4.64397e+28 -1.27106e-07 1.57685e-07 3.35251e-21 -7.74883e-25 2.44263e+13 7.05059e-38 4.93413e-11
4.63514e+28 -1.27106e-07 1.5785e-07 3.35251e-21 -7.77022e-25 2.44055e+13 7.07992e-38 4.94397e-11
4.62631e+28 -1.27106e-07 1.58016e-07 3.35251e-21 -7.79173e-25 2.43845e+13 7.1094e-38 4.95384e-11
4.61749e+28 -1.27106e-07 1.58181e-07 3.35251e-21 -7.81338e-25 2.43635e+13 7.13905e-38 4.96373e-11
4.60866e+28 -1.27106e-07 1.58346e-07 3.35251e-21 -7.83517e-25 2.43422e+13 7.16885e-38 4.97365e-11
4.59983e+28 -1.27106e-07 1.58511e-07 3.35251e-21 -7.85709e-25 2.43209e+13 7.19881e-38 4.98359e-11
4.591e+28 -1.27106e-07 1.58676e-07 3.35251e-21 -7.87914e-25 2.42995e+13 7.22894e-38 4.99355e-11
4.58218e+28 -1.27106e-07 1.5884e-07 3.35251e-21 -7.90134e-25 2.42779e+13 7.25922e-38 5.00354e-11
4.57335e+28 -1.27106e-07 1.59004e-07 3.35251e-21 -7.92367e-25 2.42562e+13 7.28967e-38 5.01355e-11
4.56452e+28 -1.27106e-07 1.59169e-07 3.35251e-21 -7.94614e-25 2.42344e+13 7.32029e-38 5.02358e-11
4.5557e+28 -1.27106e-07 1.59333e-07 3.35251e-21 -7.96875e-25 2.42124e+13 7.35107e-38 5.03364e-11
4.54687e+28 -1.27106e-07 1.59496e-07 3.35251e-21 -7.9915e-25 2.41904e+13 7.38202e-38 5.04372e-11
4.53804e+28 -1.27106e-07 1.5966e-07 3.35251e-21 -8.0144e-25 2.41682e+13 7.41313e-38 5.05383e-11
4.52921e+28 -1.27106e-07 1.59824e-07 3.35251e-21 -8.03744e-25 2.41459e+13 7.44442e-38 5.06396e-11
4.52039e+28 -1.27106e-07 1.59987e-07 3.35251e-21 -8.06062e-25 2.41235e+13 7.47588e-38 5.07412e-11
4.51156e+28 -1.27106e-07 1.6015e-07 3.35251e-21 -8.08395e-25 2.41009e+13 7.50751e-38 5.0843e-11
4.50273e+28 -1.27106e-07 1.60313e-07 3.35251e-21 -8.10742e-25 2.40782e+13 7.53932e-38 5.09451e-11
4.49391e+28 -1.27106e-07 1.60476e-07 3.35251e-21 -8.13104e-25 2.40554e+13 7.5713e-38 5.10475e-11
4.48508e+28 -1.27106e-07 1.60639e-07 3.35251e-21 -8.15481e-25 2.40325e+13 7.60346e-38 5.115e-11
4.47625e+28 -1.27106e-07 1.60801e-07 3.35251e-21 -8.17873e-25 2.40095e+13 7.6358e-38 5.12529e-11
4.46742e+28 -1.27106e-07 1.60964e-07 3.35251e-21 -8.2028e-25 2.39863e+13 7.66831e-38 5.1356e-11
4.4586e+28 -1.27106e-07 1.61126e-07 3.35251e-21 -8.22703e-25 2.39631e+13 7.70101e-38 5.14594e-11
4.44977e+28 -1.27106e-07 1.61288e-07 3.35251e-21 -8.2514e-25 2.39397e+13 7.73389e-38 5.1563e-11
4.44094e+28 -1.27106e-07 1.6145e-07 3.35251e-21 -8.27593e-25 2.39162e+13 7.76696e-38 5.16669e-11
4.43212e+28 -1.27106e-07 1.61611e-07 3.35251e-21 -8.30062e-25 2.38925e+13 7.80021e-38 5.1771e-11
4.42329e+28 -1.27106e-07 1.61773e-07 3.35251e-21 -8.32546e-25 2.38688e+13 7.83364e-38 5.18755e-11
4.41446e+28 -1.27106e-07 1.61934e-07 3.35251e-21 -8.35046e-25 2.38449e+13 7.86727e-38 5.19801e-11
4.40563e+28 -1.27106e-07 1.62095e-07 3.35251e-21 -8.37561e-25 2.38209e+13 7.90108e-38 5.20851e-11
4.39681e+28 -1.27106e-07 1.62256e-07 3.35251e-21 -8.40093e-25 2.37968e+13 7.93509e-38 5.21903e-11
4.38798e+28 -1.27106e-07 1.62417e-07 3.35251e-21 -8.42641e-25 2.37726e+13 7.96929e-38 5.22958e-11
4.37915e+28 -1.27106e-07 1.62578e-07 3.35251e-21 -8.45205e-25 2.37482e+13 8.00368e-38 5.24016e-11
4.37033e+28 -1.27106e-07 1.62739e-07 3.35251e-21 -8.47785e-25 2.37238e+13 8.03827e-38 5.25077e-11
4.3615e+28 -1.27106e-07 1.62899e-07 3.35251e-21 -8.50382e-25 2.36992e+13 8.07306e-38 5.2614e-11
4.35267e+28 -1.27106e-07 1.63059e-07 3.35251e-21 -8.52996e-25 2.36745e+13 8.10805e-38 5.27207e-11
4.34384e+28 -1.27106e-07 1.63219e-07 3.35251e-21 -8.55626e-25 2.36497e+13 8.14323e-38 5.28276e-11
4.33502e+28 -1.27106e-07 1.63379e-07 3.35251e-21 -8.58273e-25 2.36247e+13 8.17862e-38 5.29347e-11
4.32619e+28 -1.27106e-07 1.63539e-07 3.35251e-21 -8.60937e-25 2.35997e+13 8.21422e-38 5.30422e-11
4.31736e+28 -1.27106e-07 1.63699e-07 3.35251e-21 -8.63618e-25 2.35745e+13 8.25002e-38 5.315e-11
4.30854e+28 -1.27106e-07 1.63858e-07 3.35251e-21 -8.66317e-25 2.35493e+13 8.28602e-38 5.3258e-11
4.29971e+28 -1.27106e-07 1.64018e-07 3.35251e-21 -8.69032e-25 2.35239e+13 8.32224e-38 5.33664e-11
4.29088e+28 -1.27106e-07 1.64177e-07 3.35251e-21 -8.71766e-25 2.34983e+13 8.35867e-38 5.3475e-11
4.28205e+28 -1.27106e-07 1.64336e-07 3.35251e-21 -8.74517e-25 2.34727e+13 8.39531e-38 5.3584e-11
4.27323e+28 -1.27106e-07 1.64495e-07 3.35251e-21 -8.77285e-25 2.3447e+13 8.43216e-38 5.36932e-11
4.2644e+28 -1.27106e-07 1.64653e-07 3.35251e-21 -8.80072e-25 2.34211e+13 8.46923e-38 5.38027e-11
4.25557e+28 -1.27106e-07 1.64812e-07 3.35251e-21 -8.82877e-25 2.33951e+13 8.50651e-38 5.39126e-11
4.24675e+28 -1.27106e-07 1.6497e-07 3.35251e-21 -8.85699e-25 2.3369e+13 8.54402e-38 5.40227e-11
4.23792e+28 -1.27106e-07 1.65128e-07 3.35251e-21 -8.88541e-25 2.33428e+13 8.58175e-38 5.41331e-11
4.22909e+28 -1.27106e-07 1.65286e-07 3.35251e-21 -8.914e-25 2.33165e+13 8.6197e-38 5.42439e-11
4.22026e+28 -1.27106e-07 1.65444e-07 3.35251e-21 -8.94279e-25 2.32901e+13 8.65788e-38 5.4355e-11
4.21144e+28 -1.27106e-07 1.65602e-07 3.35251e-21 -8.97176e-25 2.32635e+13 8.69628e-38 5.44663e-11
4.20261e+28 -1.27106e-07 1.6576e-07 3.35251e-21 -9.00092e-25 2.32369e+13 8.73491e-38 5.4578e-11
4.19378e+28 -1.27106e-07 1.65917e-07 3.35251e-21 -9.03027e-25 2.32101e+13 8.77377e-38 5.469e-11
4.18496e+28 -1.27106e-07 1.66075e-07 3.35251e-21 -9.05981e-25 2.31832e+13 8.81287e-38 5.48023e-11
4.17613e+28 -1.27106e-07 1.66232e-07 3.35251e-21 -9.08955e-25 2.31562e+13 8.85219e-38 5.4915e-11
4.1673e+28 -1.27106e-07 1.66389e-07 3.35251e-21 -9.11948e-25 2.31291e+13 8.89176e-38 5.50279e-11
4.15847e+28 -1.27106e-07 1.66546e-07 3.35251e-21 -9.14961e-25 2.31019e+13 8.93156e-38 5.51412e-11
4.14965e+28 -1.27106e-07 1.66702e-07 3.35251e-21 -9.17994e-25 2.30745e+13 8.97161e-38 5.52548e-11
4.14082e+28 -1.27106e-07 1.66859e-07 3.35251e-21 -9.21047e-25 2.30471e+13 9.0119e-38 5.53688e-11
4.13199e+28 -1.27106e-07 1.67016e-07 3.35251e-21 -9.2412e-25 2.30195e+13 9.05243e-38 5.5483e-11
4.12317e+28 -1.27106e-07 1.67172e-07 3.35251e-21 -9.27213e-25 2.29918e+13 9.09321e-38 5.55976e-11
4.11434e+28 -1.27106e-07 1.67328e-07 3.35251e-21 -9.30327e-25 2.2964e+13 9.13423e-38 5.57126e-11
4.10551e+28 -1.27106e-07 1.67484e-07 3.35251e-21 -9.33462e-25 2.29361e+13 9.17551e-38 5.58279e-11
4.09668e+28 -1.27106e-07 1.6764e-07 3.35251e-21 -9.36617e-25 2.29081e+13 9.21704e-38 5.59435e-11
4.08786e+28 -1.27106e-07 1.67796e-07 3.35251e-21 -9.39794e-25 2.288e+13 9.25883e-38 5.60594e-11
4.07903e+28 -1.27106e-07 1.67951e-07 3.35251e-21 -9.42991e-25 2.28517e+13 9.30087e-38 5.61757e-11
4.0702e+28 -1.27106e-07 1.68107e-07 3.35251e-21 -9.4621e-25 2.28234e+13 9.34317e-38 5.62924e-11
4.06138e+28 -1.27106e-07 1.68262e-07 3.35251e-21 -9.49451e-25 2.27949e+13 9.38574e-38 5.64094e-11
4.05255e+28 -1.27106e-07 1.68417e-07 3.35251e-21 -9.52713e-25 2.27663e+13 9.42857e-38 5.65267e-11
4.04372e+28 -1.27106e-07 1.68572e-07 3.35251e-21 -9.55997e-25 2.27377e+13 9.47166e-38 5.66444e-11
4.03489e+28 -1.27106e-07 1.68727e-07 3.35251e-21 -9.59303e-25 2.27089e+13 9.51502e-38 5.67624e-11
4.02607e+28 -1.27106e-07 1.68881e-07 3.35251e-21 -9.62632e-25 2.268e+13 9.55866e-38 5.68808e-11
4.01724e+28 -1.27106e-07 1.69036e-07 3.35251e-21 -9.65983e-25 2.26509e+13 9.60256e-38 5.69996e-11
4.00841e+28 -1.27106e-07 1.6919e-07 3.35251e-21 -9.69356e-25 2.26218e+13 9.64675e-38 5.71187e-11
3.99959e+28 -1.27106e-07 1.69345e-07 3.35251e-21 -9.72753e-25 2.25926e+13 9.69121e-38 5.72382e-11
3.99076e+28 -1.27106e-07 1.69499e-07 3.35251e-21 -9.76172e-25 2.25632e+13 9.73595e-38 5.73581e-11
3.98193e+28 -1.27106e-07 1.69653e-07 3.35251e-21 -9.79615e-25 2.25338e+13 9.78098e-38 5.74783e-11
3.9731e+28 -1.27106e-07 1.69807e-07 3.35251e-21 -9.83081e-25 2.25042e+13 9.82629e-38 5.75989e-11
3.96428e+28 -1.27106e-07 1.6996e-07 3.35251e-21 -9.86571e-25 2.24746e+13 9.87188e-38 5.77199e-11
3.95545e+28 -1.27106e-07 1.70114e-07 3.35251e-21 -9.90084e-25 2.24448e+13 9.91777e-38 5.78413e-11
3.94662e+28 -1.27106e-07 1.70268e-07 3.35251e-21 -9.93622e-25 2.24149e+13 9.96395e-38 5.7963e-11
3.9378e+28 -1.27106e-07 1.70421e-07 3.35251e-21 -9.97184e-25 2.23849e+13 1.00104e-37 5.80851e-11
3.92897e+28 -1.27106e-07 1.70574e-07 3.35251e-21 -1.00077e-24 2.23548e+13 1.00572e-37 5.82076e-11
3.92014e+28 -1.27106e-07 1.70727e-07 3.35251e-21 -1.00438e-24 2.23246e+13 1.01043e-37 5.83305e-11
3.91131e+28 -1.27106e-07 1.7088e-07 3.35251e-21 -1.00802e-24 2.22943e+13 1.01517e-37 5.84538e-11
3.90249e+28 -1.27106e-07 1.71033e-07 3.35251e-21 -1.01168e-24 2.22638e+13 1.01993e-37 5.85774e-11
3.89366e+28 -1.27106e-07 1.71185e-07 3.35251e-21 -1.01536e-24 2.22333e+13 1.02473e-37 5.87015e-11
3.88483e+28 -1.27106e-07 1.71338e-07 3.35251e-21 -1.01908e-24 2.22026e+13 1.02957e-37 5.8826e-11
3.87601e+28 -1.27106e-07 1.7149e-07 3.35251e-21 -1.02281e-24 2.21719e+13 1.03443e-37 5.89508e-11
3.86718e+28 -1.27106e-07 1.71642e-07 3.35251e-21 -1.02658e-24 2.2141e+13 1.03932e-37 5.90761e-11
3.85835e+28 -1.27106e-07 1.71794e-07 3.35251e-21 -1.03037e-24 2.21101e+13 1.04425e-37 5.92018e-11
3.84952e+28 -1.27106e-07 1.71946e-07 3.35251e-21 -1.03418e-24 2.2079e+13 1.04921e-37 5.93278e-11
3.8407e+28 -1.27106e-07 1.72098e-07 3.35251e-21 -1.03803e-24 2.20478e+13 1.0542e-37 5.94543e-11
3.83187e+28 -1.27106e-07 1.7225e-07 3.35251e-21 -1.0419e-24 2.20165e+13 1.05922e-37 5.95812e-11
3.82304e+28 -1.27106e-07 1.72401e-07 3.35251e-21 -1.04579e-24 2.19851e+13 1.06428e-37 5.97086e-11
3.81422e+28 -1.27106e-07 1.72553e-07 3.35251e-21 -1.04972e-24 2.19536e+13 1.06937e-37 5.98363e-11
3.80539e+28 -1.27106e-07 1.72704e-07 3.35251e-21 -1.05367e-24 2.1922e+13 1.07449e-37 5.99645e-11
3.79656e+28 -1.27106e-07 1.72855e-07 3.35251e-21 -1.05765e-24 2.18903e+13 1.07965e-37 6.0093e-11
3.78773e+28 -1.27106e-07 1.73006e-07 3.35251e-21 -1.06166e-24 2.18585e+13 1.08484e-37 6.02221e-11
3.77891e+28 -1.27106e-07 1.73157e-07 3.35251e-21 -1.06569e-24 2.18266e+13 1.09007e-37 6.03515e-11
3.77008e+28 -1.27106e-07 1.73308e-07 3.35251e-21 -1.06976e-24 2.17945e+13 1.09533e-37 6.04814e-11
3.76125e+28 -1.27106e-07 1.73458e-07 3.35251e-21 -1.07385e-24 2.17624e+13 1.10063e-37 6.06117e-11
3.75243e+28 -1.27106e-07 1.73609e-07 3.35251e-21 -1.07797e-24 2.17302e+13 1.10597e-37 6.07425e-11
3.7436e+28 -1.27106e-07 1.73759e-07 3.35251e-21 -1.08213e-24 2.16978e+13 1.11134e-37 6.08737e-11
3.73477e+28 -1.27106e-07 1.73909e-07 3.35251e-21 -1.08631e-24 2.16654e+13 1.11674e-37 6.10054e-11
3.72594e+28 -1.27106e-07 1.7406e-07 3.35251e-21 -1.09052e-24 2.16328e+13 1.12219e-37 6.11375e-11
3.71712e+28 -1.27106e-07 1.74209e-07 3.35251e-21 -1.09476e-24 2.16002e+13 1.12767e-37 6.127e-11
3.70829e+28 -1.27106e-07 1.74359e-07 3.35251e-21 -1.09904e-24 2.15674e+13 1.13319e-37 6.1403e-11
3.69946e+28 -1.27106e-07 1.74509e-07 3.35251e-21 -1.10334e-24 2.15345e+13 1.13874e-37 6.15365e-11
3.69064e+28 -1.27106e-07 1.74659e-07 3.35251e-21 -1.10767e-24 2.15016e+13 1.14433e-37 6.16704e-11
3.68181e+28 -1.27106e-07 1.74808e-07 3.35251e-21 -1.11204e-24 2.14685e+13 1.14997e-37 6.18049e-11
3.67298e+28 -1.27106e-07 1.74957e-07 3.35251e-21 -1.11644e-24 2.14353e+13 1.15564e-37 6.19397e-11
3.66415e+28 -1.27106e-07 1.75107e-07 3.35251e-21 -1.12087e-24 2.1402e+13 1.16135e-37 6.20751e-11
3.65533e+28 -1.27106e-07 1.75256e-07 3.35251e-21 -1.12533e-24 2.13687e+13 1.1671e-37 6.22109e-11
3.6465e+28 -1.27106e-07 1.75405e-07 3.35251e-21 -1.12982e-24 2.13352e+13 1.17289e-37 6.23472e-11
3.63767e+28 -1.27106e-07 1.75553e-07 3.35251e-21 -1.13435e-24 2.13016e+13 1.17872e-37 6.2484e-11
3.62885e+28 -1.27106e-07 1.75702e-07 3.35251e-21 -1.13891e-24 2.12679e+13 1.18459e-37 6.26212e-11
3.62002e+28 -1.27106e-07 1.75851e-07 3.35251e-21 -1.14351e-24 2.12341e+13 1.1905e-37 6.2759e-11
3.61119e+28 -1.27106e-07 1.75999e-07 3.35251e-21 -1.14814e-24 2.12002e+13 1.19646e-37 6.28973e-11
3.60236e+28 -1.27106e-07 1.76147e-07 3.35251e-21 -1.1528e-24 2.11662e+13 1.20245e-37 6.3036e-11
3.59354e+28 -1.27106e-07 1.76295e-07 3.35251e-21 -1.15749e-24 2.11321e+13 1.20849e-37 6.31753e-11
